
--------------------------------------------------

Barrel_Shifter_16_Bit - Test

--------------------------------------------------


--------------------------------------------------

All Operations

--------------------------------------------------


--------------------------------------------------

[          20.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x5e81 , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[         240.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x96ce , Shifted_Data_Out = 0x5b38 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x5b38 , tb_Carry_Out = 0x0 , Is_Same = 1
[         260.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x4ec5 , Shifted_Data_Out = 0x7628 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x7628 , tb_Carry_Out = 0x0 , Is_Same = 1
[         280.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x28bd , Shifted_Data_Out = 0x28bd , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x28bd , tb_Carry_Out = 0x0 , Is_Same = 1
[         300.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x2665 , Shifted_Data_Out = 0x4cca , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x4cca , tb_Carry_Out = 0x0 , Is_Same = 1
[         320.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x870a , Shifted_Data_Out = 0x1c28 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x1c28 , tb_Carry_Out = 0x0 , Is_Same = 1
[         340.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x2120 , Shifted_Data_Out = 0x0900 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0900 , tb_Carry_Out = 0x0 , Is_Same = 1

--------------------------------------------------

[         360.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xcc9d , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[         380.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xb813 , Shifted_Data_Out = 0xb813 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb813 , tb_Carry_Out = 0x0 , Is_Same = 1
[         400.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xd653 , Shifted_Data_Out = 0x6b29 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x6b29 , tb_Carry_Out = 0x0 , Is_Same = 1
[         420.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x2ad5 , Shifted_Data_Out = 0x0ab5 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0ab5 , tb_Carry_Out = 0x0 , Is_Same = 1
[         440.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x3eae , Shifted_Data_Out = 0x07d5 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x07d5 , tb_Carry_Out = 0x0 , Is_Same = 1
[         460.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x72cf , Shifted_Data_Out = 0x72cf , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x72cf , tb_Carry_Out = 0x0 , Is_Same = 1
[         480.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x650a , Shifted_Data_Out = 0x3285 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x3285 , tb_Carry_Out = 0x0 , Is_Same = 1
[         500.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x4c3c , Shifted_Data_Out = 0x130f , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x130f , tb_Carry_Out = 0x0 , Is_Same = 1
[         520.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x618a , Shifted_Data_Out = 0x0c31 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0c31 , tb_Carry_Out = 0x0 , Is_Same = 1
[         540.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x34d8 , Shifted_Data_Out = 0x34d8 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x34d8 , tb_Carry_Out = 0x0 , Is_Same = 1
[         560.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x1289 , Shifted_Data_Out = 0x0944 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0944 , tb_Carry_Out = 0x0 , Is_Same = 1
[         580.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x65b6 , Shifted_Data_Out = 0x196d , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x196d , tb_Carry_Out = 0x0 , Is_Same = 1
[         600.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x13ae , Shifted_Data_Out = 0x0275 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0275 , tb_Carry_Out = 0x0 , Is_Same = 1
[         620.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xdd2a , Shifted_Data_Out = 0xdd2a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xdd2a , tb_Carry_Out = 0x0 , Is_Same = 1
[         640.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xbe71 , Shifted_Data_Out = 0x5f38 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x5f38 , tb_Carry_Out = 0x0 , Is_Same = 1
[         660.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x554f , Shifted_Data_Out = 0x1553 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x1553 , tb_Carry_Out = 0x0 , Is_Same = 1
[         680.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x333a , Shifted_Data_Out = 0x0667 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0667 , tb_Carry_Out = 0x0 , Is_Same = 1

--------------------------------------------------

[         700.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x4b15 , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[         720.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x4bd9 , Shifted_Data_Out = 0x4bd9 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x4bd9 , tb_Carry_Out = 0x0 , Is_Same = 1
[         740.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xfb4c , Shifted_Data_Out = 0xf698 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf698 , tb_Carry_Out = 0x0 , Is_Same = 1
[         760.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xa18f , Shifted_Data_Out = 0x863c , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x863c , tb_Carry_Out = 0x0 , Is_Same = 1
[         780.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x60b7 , Shifted_Data_Out = 0x05b8 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x05b8 , tb_Carry_Out = 0x0 , Is_Same = 1
[         800.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x945c , Shifted_Data_Out = 0x945c , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x945c , tb_Carry_Out = 0x0 , Is_Same = 1
[         820.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x3789 , Shifted_Data_Out = 0x6f12 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x6f12 , tb_Carry_Out = 0x0 , Is_Same = 1
[         840.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x3ed0 , Shifted_Data_Out = 0xfb40 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xfb40 , tb_Carry_Out = 0x0 , Is_Same = 1
[         860.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xfc51 , Shifted_Data_Out = 0xe288 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe288 , tb_Carry_Out = 0x0 , Is_Same = 1
[         880.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x7f0c , Shifted_Data_Out = 0x7f0c , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x7f0c , tb_Carry_Out = 0x0 , Is_Same = 1
[         900.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xedc8 , Shifted_Data_Out = 0xdb90 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xdb90 , tb_Carry_Out = 0x0 , Is_Same = 1
[         920.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xed3d , Shifted_Data_Out = 0xb4f4 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb4f4 , tb_Carry_Out = 0x0 , Is_Same = 1
[         940.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x007e , Shifted_Data_Out = 0x03f0 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x03f0 , tb_Carry_Out = 0x0 , Is_Same = 1
[         960.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xe739 , Shifted_Data_Out = 0xe739 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe739 , tb_Carry_Out = 0x0 , Is_Same = 1
[         980.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xf6d3 , Shifted_Data_Out = 0xeda6 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xeda6 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1000.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x8878 , Shifted_Data_Out = 0x21e0 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x21e0 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1020.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x4b49 , Shifted_Data_Out = 0x5a48 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x5a48 , tb_Carry_Out = 0x0 , Is_Same = 1

--------------------------------------------------

[        1040.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xaf2a , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        1060.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x3886 , Shifted_Data_Out = 0x3886 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x3886 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1080.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xf29c , Shifted_Data_Out = 0xf94e , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf94e , tb_Carry_Out = 0x0 , Is_Same = 1
[        1100.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xbc26 , Shifted_Data_Out = 0xef09 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xef09 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1120.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xb4a3 , Shifted_Data_Out = 0xf694 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf694 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1140.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x92b3 , Shifted_Data_Out = 0x92b3 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x92b3 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1160.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x0d44 , Shifted_Data_Out = 0x06a2 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x06a2 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1180.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x36cb , Shifted_Data_Out = 0x0db2 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0db2 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1200.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0xdb5a , Shifted_Data_Out = 0xfb6b , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xfb6b , tb_Carry_Out = 0x0 , Is_Same = 1
[        1220.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xe2ed , Shifted_Data_Out = 0xe2ed , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe2ed , tb_Carry_Out = 0x0 , Is_Same = 1
[        1240.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0xb665 , Shifted_Data_Out = 0xdb32 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xdb32 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1260.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x94df , Shifted_Data_Out = 0xe537 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe537 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1280.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xff44 , Shifted_Data_Out = 0xffe8 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xffe8 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1300.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x0b2a , Shifted_Data_Out = 0x0b2a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0b2a , tb_Carry_Out = 0x0 , Is_Same = 1
[        1320.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xcf0e , Shifted_Data_Out = 0xe787 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe787 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1340.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xbc9a , Shifted_Data_Out = 0xef26 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xef26 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1360.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x3 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x02c3 , Shifted_Data_Out = 0x0058 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0058 , tb_Carry_Out = 0x0 , Is_Same = 1

--------------------------------------------------

[        1380.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xe94e , Shifted_Data_Out = 0xzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        1400.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x340a , Shifted_Data_Out = 0x340a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x340a , tb_Carry_Out = 0x0 , Is_Same = 1
[        1420.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x8a38 , Shifted_Data_Out = 0x1471 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x1471 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1440.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xc4b8 , Shifted_Data_Out = 0x12e3 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x12e3 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1460.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x5d93 , Shifted_Data_Out = 0xec9a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xec9a , tb_Carry_Out = 0x0 , Is_Same = 1
[        1480.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xca59 , Shifted_Data_Out = 0xca59 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xca59 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1500.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xde4d , Shifted_Data_Out = 0xbc9b , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xbc9b , tb_Carry_Out = 0x0 , Is_Same = 1
[        1520.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x266d , Shifted_Data_Out = 0x99b4 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x99b4 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1540.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x49ca , Shifted_Data_Out = 0x4e52 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x4e52 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1560.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x7195 , Shifted_Data_Out = 0x7195 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x7195 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1580.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x9b04 , Shifted_Data_Out = 0x3609 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x3609 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1600.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x0769 , Shifted_Data_Out = 0x1da4 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x1da4 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1620.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x8d88 , Shifted_Data_Out = 0x6c44 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x6c44 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1640.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x042d , Shifted_Data_Out = 0x042d , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x042d , tb_Carry_Out = 0x0 , Is_Same = 1
[        1660.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x9c2e , Shifted_Data_Out = 0x385d , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x385d , tb_Carry_Out = 0x0 , Is_Same = 1
[        1680.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x451c , Shifted_Data_Out = 0x1471 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x1471 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1700.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x4 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x0729 , Shifted_Data_Out = 0x3948 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x3948 , tb_Carry_Out = 0x0 , Is_Same = 1

--------------------------------------------------

