
--------------------------------------------------

Barrel_Shifter_32_Bit - Test

--------------------------------------------------


--------------------------------------------------

All Operations

--------------------------------------------------


--------------------------------------------------

[          20.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xc0895e81 , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[         240.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xe77696ce , Shifted_Data_Out = 0x9dda5b38 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x9dda5b38 , tb_Carry_Out = 0x0 , Is_Same = 1
[         260.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0xe2ca4ec5 , Shifted_Data_Out = 0x16527628 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x16527628 , tb_Carry_Out = 0x0 , Is_Same = 1
[         280.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xde8e28bd , Shifted_Data_Out = 0xde8e28bd , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xde8e28bd , tb_Carry_Out = 0x0 , Is_Same = 1
[         300.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xb2a72665 , Shifted_Data_Out = 0x654e4cca , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x654e4cca , tb_Carry_Out = 0x0 , Is_Same = 1
[         320.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x0573870a , Shifted_Data_Out = 0x15ce1c28 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x15ce1c28 , tb_Carry_Out = 0x0 , Is_Same = 1
[         340.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x10642120 , Shifted_Data_Out = 0x83210900 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x83210900 , tb_Carry_Out = 0x0 , Is_Same = 1
[         360.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xcecccc9d , Shifted_Data_Out = 0xcecccc9d , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xcecccc9d , tb_Carry_Out = 0x0 , Is_Same = 1
[         380.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x8983b813 , Shifted_Data_Out = 0x13077026 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x13077026 , tb_Carry_Out = 0x0 , Is_Same = 1
[         400.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xa9a7d653 , Shifted_Data_Out = 0xa69f594c , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xa69f594c , tb_Carry_Out = 0x0 , Is_Same = 1
[         420.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xeaa62ad5 , Shifted_Data_Out = 0x553156a8 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x553156a8 , tb_Carry_Out = 0x0 , Is_Same = 1
[         440.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xd7563eae , Shifted_Data_Out = 0xd7563eae , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xd7563eae , tb_Carry_Out = 0x0 , Is_Same = 1
[         460.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xe7c572cf , Shifted_Data_Out = 0xcf8ae59e , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xcf8ae59e , tb_Carry_Out = 0x0 , Is_Same = 1
[         480.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x0509650a , Shifted_Data_Out = 0x14259428 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x14259428 , tb_Carry_Out = 0x0 , Is_Same = 1
[         500.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x9e314c3c , Shifted_Data_Out = 0xf18a61e0 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xf18a61e0 , tb_Carry_Out = 0x0 , Is_Same = 1
[         520.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x452e618a , Shifted_Data_Out = 0x452e618a , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x452e618a , tb_Carry_Out = 0x0 , Is_Same = 1
[         540.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xec4b34d8 , Shifted_Data_Out = 0xd89669b0 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xd89669b0 , tb_Carry_Out = 0x0 , Is_Same = 1
[         560.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xc48a1289 , Shifted_Data_Out = 0x12284a24 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x12284a24 , tb_Carry_Out = 0x0 , Is_Same = 1
[         580.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x5b0265b6 , Shifted_Data_Out = 0xd8132db0 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xd8132db0 , tb_Carry_Out = 0x0 , Is_Same = 1
[         600.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x571513ae , Shifted_Data_Out = 0x571513ae , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x571513ae , tb_Carry_Out = 0x0 , Is_Same = 1
[         620.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x150fdd2a , Shifted_Data_Out = 0x2a1fba54 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x2a1fba54 , tb_Carry_Out = 0x0 , Is_Same = 1
[         640.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xb897be71 , Shifted_Data_Out = 0xe25ef9c4 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe25ef9c4 , tb_Carry_Out = 0x0 , Is_Same = 1
[         660.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x0 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x27f2554f , Shifted_Data_Out = 0x3f92aa78 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x3f92aa78 , tb_Carry_Out = 0x0 , Is_Same = 1

--------------------------------------------------

[         680.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x1d06333a , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[         700.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x0aaa4b15 , Shifted_Data_Out = 0x0aaa4b15 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0aaa4b15 , tb_Carry_Out = 0x0 , Is_Same = 1
[         720.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x6c9c4bd9 , Shifted_Data_Out = 0x364e25ec , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x364e25ec , tb_Carry_Out = 0x0 , Is_Same = 1
[         740.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x2635fb4c , Shifted_Data_Out = 0x098d7ed3 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x098d7ed3 , tb_Carry_Out = 0x0 , Is_Same = 1
[         760.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x47b9a18f , Shifted_Data_Out = 0x08f73431 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x08f73431 , tb_Carry_Out = 0x0 , Is_Same = 1
[         780.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xdbcd60b7 , Shifted_Data_Out = 0xdbcd60b7 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xdbcd60b7 , tb_Carry_Out = 0x0 , Is_Same = 1
[         800.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xae7d945c , Shifted_Data_Out = 0x573eca2e , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x573eca2e , tb_Carry_Out = 0x0 , Is_Same = 1
[         820.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x44de3789 , Shifted_Data_Out = 0x11378de2 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x11378de2 , tb_Carry_Out = 0x0 , Is_Same = 1
[         840.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xe8233ed0 , Shifted_Data_Out = 0x1d0467da , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x1d0467da , tb_Carry_Out = 0x0 , Is_Same = 1
[         860.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xa8c7fc51 , Shifted_Data_Out = 0xa8c7fc51 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xa8c7fc51 , tb_Carry_Out = 0x0 , Is_Same = 1
[         880.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x061d7f0c , Shifted_Data_Out = 0x030ebf86 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x030ebf86 , tb_Carry_Out = 0x0 , Is_Same = 1
[         900.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x6457edc8 , Shifted_Data_Out = 0x1915fb72 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x1915fb72 , tb_Carry_Out = 0x0 , Is_Same = 1
[         920.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x1ef2ed3d , Shifted_Data_Out = 0x03de5da7 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x03de5da7 , tb_Carry_Out = 0x0 , Is_Same = 1
[         940.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0xbf05007e , Shifted_Data_Out = 0xbf05007e , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xbf05007e , tb_Carry_Out = 0x0 , Is_Same = 1
[         960.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x1cd9e739 , Shifted_Data_Out = 0x0e6cf39c , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0e6cf39c , tb_Carry_Out = 0x0 , Is_Same = 1
[         980.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xe9ebf6d3 , Shifted_Data_Out = 0x3a7afdb4 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x3a7afdb4 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1000.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xbc148878 , Shifted_Data_Out = 0x1782910f , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x1782910f , tb_Carry_Out = 0x0 , Is_Same = 1
[        1020.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x248b4b49 , Shifted_Data_Out = 0x248b4b49 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x248b4b49 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1040.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x150caf2a , Shifted_Data_Out = 0x0a865795 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x0a865795 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1060.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xc33f3886 , Shifted_Data_Out = 0x30cfce21 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x30cfce21 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1080.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0xce2ff29c , Shifted_Data_Out = 0x19c5fe53 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x19c5fe53 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1100.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x0 , Data_In = 0x937dbc26 , Shifted_Data_Out = 0x937dbc26 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x937dbc26 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1120.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0xd18bb4a3 , Shifted_Data_Out = 0x68c5da51 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x68c5da51 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1140.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xd9d292b3 , Shifted_Data_Out = 0x3674a4ac , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x3674a4ac , tb_Carry_Out = 0x0 , Is_Same = 1
[        1160.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x22290d44 , Shifted_Data_Out = 0x044521a8 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x044521a8 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1180.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xe59b36cb , Shifted_Data_Out = 0xe59b36cb , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe59b36cb , tb_Carry_Out = 0x0 , Is_Same = 1
[        1200.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x2d28db5a , Shifted_Data_Out = 0x16946dad , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x16946dad , tb_Carry_Out = 0x0 , Is_Same = 1
[        1220.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0xf682e2ed , Shifted_Data_Out = 0x3da0b8bb , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x3da0b8bb , tb_Carry_Out = 0x0 , Is_Same = 1
[        1240.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0xb29fb665 , Shifted_Data_Out = 0x1653f6cc , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x1653f6cc , tb_Carry_Out = 0x0 , Is_Same = 1
[        1260.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xefbe94df , Shifted_Data_Out = 0xefbe94df , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xefbe94df , tb_Carry_Out = 0x0 , Is_Same = 1
[        1280.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x1 , Data_In = 0x2231ff44 , Shifted_Data_Out = 0x1118ffa2 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x1118ffa2 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1300.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x15090b2a , Shifted_Data_Out = 0x054242ca , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x054242ca , tb_Carry_Out = 0x0 , Is_Same = 1
[        1320.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x1 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0x076fcf0e , Shifted_Data_Out = 0x00edf9e1 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x00edf9e1 , tb_Carry_Out = 0x0 , Is_Same = 1

--------------------------------------------------

[        1340.000 ns] : Enable_In = 0x0 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xcd5ebc9a , Shifted_Data_Out = 0xzzzzzzzz , Carry_Out = 0xz , tb_Shifted_Data_Out = 0xzzzzzzzz , tb_Carry_Out = 0xz , Is_Same = 1
[        1360.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xe1f102c3 , Shifted_Data_Out = 0xe1f102c3 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe1f102c3 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1380.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x2779e94e , Shifted_Data_Out = 0x4ef3d29c , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x4ef3d29c , tb_Carry_Out = 0x0 , Is_Same = 1
[        1400.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x1 , Data_In = 0x8531340a , Shifted_Data_Out = 0x14c4d028 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x14c4d028 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1420.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x9c0e8a38 , Shifted_Data_Out = 0xe07451c0 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xe07451c0 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1440.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xdc2bc4b8 , Shifted_Data_Out = 0xdc2bc4b8 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xdc2bc4b8 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1460.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x49c65d93 , Shifted_Data_Out = 0x938cbb26 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x938cbb26 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1480.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0xacb7ca59 , Shifted_Data_Out = 0xb2df2964 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb2df2964 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1500.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x1 , Data_In = 0xa6fcde4d , Shifted_Data_Out = 0x37e6f268 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x37e6f268 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1520.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0xb6a4266d , Shifted_Data_Out = 0xb6a4266d , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xb6a4266d , tb_Carry_Out = 0x0 , Is_Same = 1
[        1540.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x653b49ca , Shifted_Data_Out = 0xca769394 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0xca769394 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1560.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x2 , Carry_In = 0x0 , Data_In = 0x4a937195 , Shifted_Data_Out = 0x2a4dc654 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x2a4dc654 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1580.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x3 , Carry_In = 0x0 , Data_In = 0x02749b04 , Shifted_Data_Out = 0x13a4d820 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x13a4d820 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1600.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x0 , Carry_In = 0x1 , Data_In = 0x34980769 , Shifted_Data_Out = 0x34980769 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x34980769 , tb_Carry_Out = 0x0 , Is_Same = 1
[        1620.000 ns] : Enable_In = 0x1 , Shift_Operation_In = 0x2 , Shift_Bits_Length_In = 0x1 , Carry_In = 0x0 , Data_In = 0x44018d88 , Shifted_Data_Out = 0x88031b10 , Carry_Out = 0x0 , tb_Shifted_Data_Out = 0x88031b10 , tb_Carry_Out = 0x0 , Is_Same = 1
